form,smiles,MW,logP,HBD,HBA,QED,lipinski_pass
full,CC(C)C(NC(=O)c1c(O)c2n(c1O)CCCC2)C(C(=O)NCc1ccccc1)C(=O)OCc1ccccc1,533.6,3.67,4,6,0.232,0
full,CC(C)N(C#N)[C@H](Cc1ccccc1)NC(=O)C(CS(C)(=O)=O)NC(=O)C(=O)OCc1ccccc1,514.6,1.14,2,8,0.149,0
full,CS(=O)(=O)/C=C1/C=C(C(=O)N[C@@H](Cc2ccc(OC(F)(F)F)cc2)/C(F)=C/F)N(C(=O)OC2CCC2)C1,550.5,4.21,1,6,0.487,0
full,O=C(OCc1ccccc1)C1c2c(O)n(c3ccccc23)C[C@H](c2ccccc2)N1C(=O)OCc1ccccc1,532.6,6.53,1,5,0.252,0
full,O=CC(CSc1ccc(C(F)(F)F)cc1)C(=O)NCc1ccccc1,367.4,3.93,1,3,0.458,1
full,CC(C)CC(NC(=O)C(CCc1ccccc1)NCc1ccccc1CS(C)(=O)=O)C(C=O)NC(=O)C1CC1,555.7,2.95,3,6,0.274,0
full,CCCCN(Cc1ccccc1)C(=O)C(=O)C(CC(C)C)NC(=O)OCC1CCCCC1,444.6,5.11,1,4,0.455,0
full,CSCCC(NC(=O)c1ccccc1NC(=O)c1ccccc1)C(=O)NCC#N,410.5,2.43,3,5,0.55,1
full,O=C(NC/C=C/S(=O)(=O)c1cnc2ccccn12)C(Cc1ccccc1)C(F)(F)F,437.4,3.16,1,4,0.616,1
full,CC(C(=O)NC1CCCC1)C(=O)N(C(C)C)[C@H]1CCCN(S(=O)(=O)c2ccc(F)c(F)c2)C1,485.6,3.05,1,4,0.602,1
full,CC(OCc1ccccc1)C(=O)OC1CC(C(=O)NCC#N)(c2ccccc2)C1,392.5,2.88,1,5,0.551,1
full,COc1ccc(COC(=O)NC(CC(C)C)C(Cc2ccccc2)NC(=O)C(CC(=O)N=C(N)Nc2ccccc2)NC(=O)COCc2ccccc2)cc1,750.9,5.11,5,7,0.064,0
full,COc1ccccc1COC(=O)CC(=O)NC(C(=O)NCCCc1ccccc1)C(C)C,440.5,3.02,2,5,0.301,1
full,CC(C)(Cc1ccc(C(F)(F)F)cc1)NC(=O)C1CCCN1C(=O)N1CCOCC1,427.5,3.06,1,3,0.804,1
full,N#CC1(NC(=O)C(CCC(F)(F)F)NS(=O)(=O)Cc2ccc(-c3cccc(C(F)(F)F)c3)cc2)CC1,533.5,4.68,2,4,0.458,0
full,CC(=O)OC[C@@H](NC(=O)c1ccccc1)c1ccccc1C(OCC1CCCC1)C(=O)N[C@@H]1Cc2ccccc21,540.7,5.38,2,5,0.319,0
full,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC#N)[C@H](Cc1ccccc1)NC(=O)c1cccc(N2CCOCC2)c1,625.8,4.6,3,7,0.239,0
full,N#CC(Cc1ccccc1)C(=O)c1ccccc1CNC(=O)OCc1ccccc1,398.5,4.68,1,4,0.559,1
full,CN1CCC(c2nc(C#N)cs2)CC1,207.3,1.82,0,4,0.705,1
full,CN1CCN(c2nc(C#N)c(-c3ccc(F)cc3)cc2C(=O)N[C@@H]2CC[C@@H]2C#N)CC1,418.5,2.54,1,6,0.82,1
full,CCCCN1C(=N)C1C(=O)N[C@H](CNC(=O)OCc1ccccc1)Cc1c[nH]c2ccccc12,461.6,3.58,4,4,0.327,1
full,N#CCNC(=O)O[C@@H](CCC1CCCCC1)Cc1ccc(OCC2(O)CCC2)cc1,414.5,4.5,2,5,0.55,1
full,O=C(N[C@@H](Cc1ccccc1)[C@@H](NC(=O)c1ccccc1)c1ccccc1F)OCc1cc(F)cc(C2CC2)c1,540.6,6.85,2,3,0.231,0
full,O=C(NC1C(=O)OC1C(=O)NC(C(=O)N[C@H]1CC(O)[C@H]1O)C1CCCCC1)OCc1ccc2ccccc2c1,539.6,1.04,5,8,0.311,0
full,CCOC(=O)CC(C)C(=O)NC(CC(C)C)C(=O)N[C@H](NC(=O)C(Cc1ccccc1)NC(=O)OC1CCCC1)C(C)C,602.8,3.6,4,7,0.167,0
full,CC(C)CC(NC(=O)C#N)C(=O)N1c2ccc(C(=O)CN[C@@H](c3ccccc3)C(F)(F)F)cc2C2C[C@H]21,512.5,4.02,2,5,0.39,0
full,CC(C)C(=O)NC(CCNC(=O)c1ccc(O)cc1)CC(=O)OCc1ccccc1,412.5,2.79,3,5,0.521,1
full,CC(O)CCCC(NC(=O)OCc1ccccc1)C(=O)NC(=O)c1cc2ccc(CNC(=O)C3C[C@@H]3F)cc2s1,569.7,3.98,4,7,0.261,0
full,CC(C)C(NC(=O)c1cccc(Br)c1)C(=O)N[C@H](CC#N)NC(=O)C(C)(C)C,451.4,2.72,3,4,0.554,1
full,CN1CCN(CC(=O)NC(=O)C(Cc2ccccc2)NC(=O)OCc2ccccc2)CC1,438.5,1.41,2,6,0.648,1
full,CC(NC(=O)OCCCc1ccccc1)C(=O)NC1CN(C#N)C1,330.4,1.02,2,5,0.575,1
full,CC(C)CC(=O)NC(=O)C(Cc1ccccc1)NC(Cc1ccccc1)C(=O)N[C@H](C#N)Cc1ccccc1,524.7,3.74,3,5,0.316,0
full,C=C(C#N)C(=O)NC(Cc1ccccc1)C(=O)Nc1ccccc1,319.4,2.43,2,3,0.634,1
full,C=C(C)C(NC(=O)C(Cc1ccccc1)NC(=O)c1cccc2ccccc12)C(=O)OC,430.5,3.41,2,4,0.424,1
full,CCCN(C#N)C(=O)c1ccc(OC)cc1C(F)(F)F,286.3,3.05,0,3,0.631,1
full,Cc1ccc(COC(=O)N[C@H](CNC(C=O)[C@@H]2CSC[C@@H]2NC(=O)c2ccco2)Cc2ccccc2)s1,541.7,3.81,3,8,0.299,0
full,CC(C)CC(NC(=O)NCCc1ccccc1)C(=O)N1Cc2ccccc2C[C@H]1C(F)(F)F,461.5,4.46,2,2,0.64,1
full,O=C(N=C(C(=O)N1CCC(=O)N2C[C@@H](OCc3ccccc3)C[C@H]2C1)c1ccccc1)C(Cc1ccccc1)C(=O)OCc1ccccc1,657.8,5.02,0,6,0.127,0
full,N#Cc1nc(N[C@@H]2CCCCC(C(=O)N[C@H]3c4ccccc4C[C@H]3O)C2)c(F)c(-c2ccccc2)n1,485.6,4.29,3,6,0.465,1
full,N#Cc1ccc(CNC(=O)OC2CCCCC2)cc1,258.3,3.12,1,3,0.906,1
full,CS(=O)(=O)Nc1ccc(CC(=O)NC(=O)C(C2CCCCC2)n2cc(C#N)c(C#N)n2)cc1,468.5,2.0,2,7,0.629,1
full,CC(C)(C)OC(=O)N[C@@H](CC(=O)/C=C/c1ccccc1)[C@@H](NC(=O)CF)c1ccccc1,440.5,4.38,2,4,0.567,1
full,O=C(Nc1ccc(Cl)cc1Cl)C1CCN1C(=O)/C=C/C(Oc1ccc(F)cc1)C(F)(F)F,491.3,5.24,1,3,0.445,0
full,N#CCNC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)Cc1ccccc1,425.5,3.46,2,3,0.488,1
full,COC(=O)Cn1ncc2ccc(OC)c(OC)c21,250.3,1.23,0,5,0.764,1
full,CC(C)(C)OC(=O)NCCOC(=O)N[C@H]1CCN(S(=O)(=O)Cn2cc(-c3ccc(Cl)cc3)nn2)C1,529.0,2.21,2,8,0.496,0
full,N#CN(C(=O)C1[C@H]([C@@H](OC(F)(F)F)c2ccccc2)CCN1C(=O)Oc1ccccc1)C1CCCCC1,515.5,5.8,0,5,0.359,0
full,CC[C@H](OC(=O)C(=O)NC(CC(=O)O)c1cc(-c2ccc3c(c2)C(C)(C)CO3)c(COC)cc1-c1ccccc1)C(C)(C)C,601.7,6.84,2,6,0.193,0
full,CC(=O)OCc1ccccc1,150.2,1.75,0,2,0.6,1
full,COc1ccc([C@@H](C)OC(=O)NC(C=O)CCc2ccccc2)cc1,341.4,3.68,1,4,0.744,1
full,C=CC(=O)N(C)c1cccc2cc(C(=O)NCCOc3cccc(-c4ccccc4)c3)oc12,440.5,5.06,1,4,0.307,0
full,CC(C)(C)COC(=O)NCc1ccccc1CNC(=O)C(Cc1cc2ccccc2o1)NC(=O)C(Cc1ccccc1)NC(=O)Cc1ccco1,692.8,5.61,4,7,0.111,0
full,COc1ccc(OC[C@H](NC(=O)c2ccc(O)cc2O)C(C)C)cc1O,361.4,2.65,4,6,0.604,1
full,Cc1nnc([C@@H]2C[C@@H](C)[C@@H](C)N2C(=O)OC(C)(C)C)o1,281.4,3.08,0,5,0.791,1
full,CC(C)(C)OC(=O)NCCC(=O)C(Cc1ccccc1)NC(=O)c1ccco1,386.4,3.1,2,5,0.726,1
full,Cn1cc(C#N)c(-c2ccc(C3(C(=O)N4CCN(C(=O)OC(C)(C)C)C4)CC3)cc2)n1,421.5,3.03,0,5,0.76,1
full,CC(C)C[C@H](NC(NC(=O)COCc1ccccc1)C(Cc1ccccc1)SCc1ccccc1)S(=O)(=O)c1ccccc1,630.9,6.63,2,6,0.128,0
full,N#CC(Cc1ccccc1)(C(=O)NC[C@H](Cc1cccc(Cl)c1)NC(=O)OCc1ccccc1)c1ccccc1,552.1,6.0,2,4,0.239,0
full,CC(C)C(NC(=O)O[C@H](C)CCc1ccccc1)C(=O)N1CCCC1C(=O)NCCC(=O)N(C)C#N,499.6,2.2,2,6,0.354,1
full,CC(C)(C)NC(Cc1ccccc1)C(=O)NCC#N,259.4,1.63,2,3,0.79,1
full,CC(C)C(C=Cc1nc2ccccc2[nH]1)C(=O)NCC#N,282.3,2.49,2,3,0.827,1
full,N#CC1(NC(=O)C(Cc2ccccc2)CC(CC(F)F)NC(=O)c2cccc3[nH]ccc23)CC1,464.5,4.34,3,3,0.416,1
full,CC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NNC(=O)C(Cc1ccc(Br)cc1)NC(=O)OCc1ccccc1,638.6,3.14,5,6,0.192,0
full,COc1ccc(NC(=O)c2ccc([C@@H](NC(CC(C)C)C(=O)C3(C#N)CC3)C3CC3)o2)cc1F,467.5,5.01,2,6,0.482,0
full,O=C(NCCSc1ccc(-c2ccc(OCc3ccccc3)cc2)cc1F)C(Cc1ccccc1)NC(=O)C(F)(F)F,596.6,6.57,2,4,0.11,0
full,CSCCC(NC(=O)OCc1ccccc1)C(CC#N)NC(=O)NC(=O)CCS(=O)(=O)c1ccccc1,546.7,3.01,3,8,0.346,0
full,CSCCC(NC(=O)C(F)(F)F)C(=O)NC(C(=O)NCCc1ccccc1)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,658.7,4.17,4,6,0.183,0
full,N#CC(CSc1ccc(-c2ccccc2)cc1)N1CCCC(COCc2ccc(Cl)cc2)C1=O,491.1,6.45,0,4,0.323,0
full,COc1cccc(C(C)(C)C)c1OCC(=O)NCCC(F)(F)[C@H](CC(C)C)NC(=O)OCc1ccccc1,534.6,5.85,2,5,0.337,0
full,N#CC(NC(=O)C(Cc1ccccc1)c1cc(C(F)(F)F)ccc1OCc1ccccc1)C(=O)NC1(C#N)CC1,546.5,4.79,2,5,0.38,0
full,CC(C)(C)N(C#N)C(=O)C(Cc1ccc(Br)cc1)NC(=O)OCC(=O)NCc1ccc(C2CC2)cc1,555.5,4.39,2,5,0.352,0
full,CNC(Cc1ccc(-c2cccc(C(F)(F)F)c2)cc1)C(=O)N[C@H](C#N)[C@@H](O)Cc1ccccc1,481.5,4.11,3,4,0.429,1
full,O=C(NCCc1ccccc1)c1nc(-c2ccc(Cl)cc2)co1,326.8,3.97,1,3,0.772,1
full,CCOC(=O)[C@]1(c2ccccc2)Cc2sc(C(F)(F)[C@H](COCC(=O)NCCC(C)C)NC(=O)Cc3ccc(F)cc3)cc21,630.7,5.29,2,6,0.223,0
full,CC(C)c1ccc(C=CC2C(=O)OCN2C#N)cc1,256.3,2.49,0,4,0.616,1
full,CCCCC(O)C(=O)NC(C#N)C(=O)NC(Cc1ccccc1)C(=O)NC[C@H](CO)c1ccccc1,494.6,1.17,5,6,0.266,1
full,CCOC(=O)NC(Cc1nc2ccccc2[nH]1)C(=O)NCCc1cccs1,386.5,2.64,3,5,0.554,1
full,CN(C)C(=O)C(CCCCCC#N)NC(=O)OCCc1ccccc1,345.4,2.89,1,4,0.661,1
full,C[C@H](Cc1ccccc1)NC(C(=O)Nc1ccccc1)C(=O)NC(CCc1ccccc1)C(=O)OCc1ccccc1,563.7,5.08,3,5,0.147,0
full,CC(C)CC(=O)C(=O)NC(NC(=O)OC(c1ccccc1)c1ccccc1)C(=O)N(C#N)C#N,461.5,2.35,2,7,0.252,1
full,CC(C)C(NC(=O)C1C[C@@H](O)CO1)C(=O)NC(CC(=O)Cc1ccccc1)C(=O)NCC(C)(C)C,489.6,1.13,4,6,0.368,1
full,CC(C)CC(N)C(=O)N(CCc1ccccc1)C(=O)C(CC[C@@H]1CC(=O)N1)NC(=O)OCc1ccc(F)cc1,540.6,3.06,3,6,0.335,0
full,CC(C)C[C@H](Cc1ccccc1)NC(=O)c1ccc(-n2ccnc2)cc1F,365.5,4.4,1,2,0.675,1
full,COc1cc(C#N)ccc1[C@H](NC(=O)COCC(C)(C)C)c1cc(-c2ccccc2)cc(C(F)(F)F)c1,510.6,6.52,1,4,0.375,0
full,CC(=O)NC(Cc1ccc(-c2ccccc2)cc1)C(=O)N[C@@H](c1ccc(F)cc1C#N)C(F)(F)F,483.5,4.83,2,3,0.473,1
full,NCCCCC(NC(=O)OCCc1ccccc1)C(=O)OCc1ccccc1,384.5,3.2,2,5,0.459,1
full,CCc1ccc(NC(=O)C(Cc2ccccc2)NC(=O)CC#N)cc1,335.4,2.83,2,3,0.816,1
full,CC[C@H](C)C(C#N)C(=O)NC(Cc1ccc(-n2ccnc2)cc1)C(=O)NC(Cc1ccc(C(F)(F)F)cc1)C(=O)NCc1ccco1,648.7,4.74,3,6,0.18,0
full,COC(=O)N[C@H](C=C(CC(C)C)C(=O)N[C@@H]1CC(=O)N1[C@H](C)Cc1ccccc1)CC(C)C,457.6,4.04,2,4,0.388,1
full,C[C@@H]1CN2Cc3cc4ccccc4cc3[C@@H]2CC(NC(=O)c2ccc(-c3ccc(C(F)(F)F)cc3)o2)C(=O)N1,533.6,5.68,2,4,0.355,0
full,CC(C)(C)[C@@H](CSc1ccc(-c2ccc(C#N)cc2)cc1)NC(=O)NC(Cc1ccccc1)C(=O)O,501.7,5.73,3,4,0.325,0
full,O=CC(NC(=O)OCc1ccccc1)C(=O)NCCc1ccccc1,340.4,1.84,2,4,0.567,1
full,CC(C)C(NC(=O)OCCCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC1(C#N)CC1,490.6,3.27,3,5,0.395,1
full,CCC(C[C@@H](/C=C/C(=O)Nc1ccccc1)NC(=O)C(C)(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,507.6,3.94,4,4,0.324,0
full,CC(C)C(=O)NC(=O)O[C@@H]1CCN(C#N)C1,225.2,0.45,1,5,0.69,1
full,N#CC1(NC(C(=O)NCc2cc(F)ccc2F)C(=O)c2ccc(F)cc2)CC1,387.4,2.62,2,4,0.565,1
full,N#CCNC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)O)Nc1cc2ccccc2nc1Cc1ccccc1,549.6,3.84,4,6,0.186,0
full,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(Cc1ccccc1)C(=O)N[C@@H](CC#N)C(F)(F)F,489.5,4.94,2,4,0.522,1
full,CN1C[C@@H](O)[C@H](NC(=O)/C=C/[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)/C=C/C#N)C1,444.5,1.81,3,5,0.425,1
full,CSCCC(NC(=O)c1ccc(-c2ccc(F)cc2)cc1)C(Cc1ccccc1)NC(=O)Cc1ccccc1,540.7,6.31,2,3,0.221,0
full,CC[C@H](NC(=O)OCCc1ccccc1)C(C#N)NC(=O)c1ccccc1,365.4,3.06,2,4,0.752,1
full,COC(=O)C(CCc1ccccc1)OC(=O)NC(Cc1ccccc1)C(=O)N[C@@H](C)Cc1ccccc1,502.6,4.25,2,5,0.361,0
full,CC[C@@H](NC(C=O)C(NC(=O)c1cccc(-c2ccccc2)c1)C(C)C)c1ccccc1,428.6,5.42,2,3,0.424,0
full,CC(N[C@@H](CCc1ccccc1)c1cccc(-c2cc[nH]n2)c1)C(=O)C(=O)N1CCOCC1,446.6,3.16,2,5,0.493,1
full,CN1C(=O)O[C@@H]1/C=C/c1ccc(-c2ccccc2)cc1,265.3,3.77,0,2,0.845,1
full,C=CC(=O)N[C@H](/C=C/C(=O)OC(C)(C)C)C(=O)C1CC[C@H]1NC(=O)CCn1sc2ccccc2c1=O,513.6,2.49,2,7,0.372,0
full,CCOc1ccc(S(=O)(=O)NC(COCc2ccccc2)C(=O)NC2(C(=O)Nc3cc(C)no3)CC2)cc1,542.6,2.53,3,8,0.298,0
full,C[C@@H]1CCCC[C@@H]1C#Cc1cccc(-c2nc(C3CCC3)no2)c1,320.4,5.18,0,3,0.715,0
full,N#C/C(=C\Cl)c1ccccc1-c1ccccc1Cl,274.1,5.11,0,1,0.698,0
full,O=C(NC(Cc1ccccc1)C(=O)NCCc1ccccc1)Oc1ccccc1,388.5,3.75,2,3,0.618,1
full,CC(C)NC(=O)c1ccc(C(F)(F)F)cc1-c1cc(F)cc(NC(=O)/C=C/CC(=O)O)c1,452.4,4.62,3,3,0.422,1
full,CCC(NC(=O)OCc1ccccc1)C(=O)NC(CC(C)C)C(=O)OC(C)C,392.5,3.17,2,5,0.597,1
full,CC(C)C(C#N)=NC(=O)Oc1ccccc1,216.2,2.81,0,3,0.714,1
full,CCOC(=O)Nc1cccc(-c2ccc(OCC(=O)NC3(C#N)CC3)c(C(F)(F)F)c2)c1,447.4,4.49,2,5,0.651,1
full,CC(C)(C)OC(=O)NC(CNC(=O)c1ccccc1)C(=O)/C=C/Cc1ccccc1,408.5,3.68,2,4,0.653,1
full,CN(CC1CCCC1)C(C#N)C(=O)OCc1ccccc1,286.4,2.74,0,4,0.755,1
full,C[C@@H](NC(=O)C(=O)N[C@H](C#N)Cc1ccc(C(F)(F)F)cc1)c1ccc(-c2ccccc2)c2ccc(C#N)cc12,540.5,5.83,2,4,0.3,0
full,CC(C)CC(NC(=O)NCC#N)C(=O)OCc1ccccc1,303.4,1.97,2,4,0.595,1
full,CCO[C@@H]([C@@H](/C=C/c1ccccc1)NS(=O)(=O)c1ccccc1)[C@@H]1CCCN1C(=O)C(Cc1ccc(S(C)(=O)=O)cc1)NC(=O)C1CCCO1,723.9,3.75,2,8,0.241,0
full,CCOC(=O)C(CCc1ccccc1)NS(=O)(=O)c1cccc(Cl)c1,381.9,3.18,1,4,0.713,1
full,COc1cccc(CC(N=O)C(=O)NC(C(C)C)C(CC(C)C)NN=C(C#N)C(=O)N2CCc3ccccc32)c1,546.7,3.99,2,8,0.222,0
full,Cc1ncccc1-c1ccc(C(=O)N[C@@H](Cc2ccccc2)c2nc(CCNS(=O)(=O)c3ccccc3)c(C#N)s2)cc1,607.8,5.62,2,7,0.201,0
full,N#Cc1cc(Oc2ccc(F)cc2)c2c(c1)C(NC(=O)C(Cc1ccccc1)NC(=O)C1CCCCC1)C2=O,525.6,5.15,2,5,0.423,0
full,O=C(NCCCc1ccccc1)C(CSCc1ccccc1)NC(=O)C(F)(F)F,424.5,3.72,2,3,0.572,1
full,CCCCC[C@@H](/C=C/[C@@H](F)COCCC(F)C(=O)NCCS(=O)(=O)c1ccccc1)NC(=O)c1cc2ccccc2o1,604.7,5.34,2,6,0.15,0
full,C[C@H](Cc1ccccc1)NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C1CCCN1,476.6,2.2,3,4,0.518,1
full,CCC(NC(=O)C(=O)Nc1ccccc1)C(=O)NCCc1ccc(-c2cccc(C(F)(F)F)c2)cc1,497.5,4.56,3,3,0.399,1
full,CC(NC(=O)c1ccccc1)C(=O)Nc1ccccc1C(=O)NC(Cc1ccccc1)C(N)=O,458.5,2.27,4,4,0.392,1
full,CC(C)C(Nc1cccc(Cl)c1)C(=O)Nc1ccccc1S(C)(=O)=O,380.9,3.82,2,4,0.798,1
full,CCC(C#N)=C(C(=O)NC(C[C@@H](C)CC)C(=O)N[C@H](C)c1ccccc1)c1ccccc1,431.6,5.17,2,3,0.402,0
full,COc1nc(C#N)nc(C2CCCC2)n1,204.2,1.41,0,5,0.728,1
full,CN(C#N)CCC[CH]NC(=O)C(Cc1ccccc1)NC(=O)C1CC[C@H]1NC(=O)c1ccc(-c2cccc(F)c2)cc1C(F)(F)F,636.7,5.22,3,5,0.103,0
full,C=CCOC(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C(=O)NCCCc1c[nH]c2ccccc12)C(C)C,656.8,4.89,6,5,0.07,0
full,O=C1CC(C(=O)NC(Cc2ccccc2)C(=O)NCc2cc3ccccc3o2)N(C(=O)C(F)(F)F)C1,501.5,2.51,2,5,0.517,0
full,O=C(CSc1nnc2cccc(Br)n12)NCC(=O)N1CCOCC1,414.3,0.56,1,6,0.568,1
full,C[C@@H](C#N)NC(=O)OC[C@@H](c1ccc(-c2cccc(-c3ccccc3)c2)cc1)C(F)(F)F,438.4,6.3,1,3,0.491,0
full,CC(C)CC(=NC(=O)C(Cc1ccccc1)NC(=O)C1(C#N)CC1)NC(=O)OCc1ccccc1,474.6,3.92,2,5,0.422,1
full,CN(CC#N)C(C#N)C(=O)Nc1cccc(-c2ccccc2)c1,304.4,2.64,1,4,0.861,1
full,CS(=O)(=O)c1ccc([C@@H]2CN(CCc3ccccc3)C(=O)[C@H]2NC(=O)OCc2ccccc2)cc1,492.6,3.55,1,5,0.519,1
full,N#CNC(=O)C(CCc1ccccc1)NC(=O)c1ccccc1,307.4,2.02,2,3,0.632,1
full,O=C(NC(Cc1ccccc1)Cc1ccccc1)ON1CCOCC1,340.4,2.81,1,4,0.878,1
full,NC(=O)C(CCc1ccccc1)NC(=O)OCc1ccccc1,312.4,2.4,2,3,0.823,1
full,CC(=O)Nc1ccc(-c2ccc(C(=O)NC(CSCc3ccccc3)C(=O)NC3(C#N)CC3)cc2)cc1,512.6,4.52,3,5,0.37,0
full,O=C(NC(Cc1ccccc1)Cc1ccccc1)C(/C=C/c1ccccc1)NC(=O)C1CCCO1,468.6,4.33,2,3,0.465,1
full,N#CCNC(=O)C1C[C@H](OC(=O)OCc2ccccc2)c2cc(Cl)ccc2O1,400.8,3.53,1,6,0.609,1
full,O=C(CNC(=O)C(CSCc1ccccc1)NC(=O)OCc1ccccc1)NC(C(=O)O)c1ccccc1,535.6,3.27,4,6,0.264,0
full,COC(=O)C(CCc1ccccc1)N(C)c1c(/C=C/C(=O)C#N)cccc1OCC(F)(F)F,460.5,4.34,0,6,0.298,1
full,CC(C)(C)OC(=O)N[C@H]1CCOc2ccccc2[C@H](OC(=O)c2ccccc2Cl)C1,431.9,5.3,1,5,0.667,0
full,CC(C)CC(NCC#N)C(NC(=O)c1ccccc1O)c1ccccc1,351.5,3.39,3,4,0.637,1
full,CCC[C@@H](O)CC(NC(=O)C(Cc1ccccc1)NC(=O)Cc1ccccc1)C(=O)C(CC(C)C)NC(CC(C)C)C(=O)O,609.8,4.07,5,6,0.152,0
full,N#Cc1cc(-c2ccccc2)ccc1C(F)(F)F,247.2,4.24,0,1,0.739,1
full,N#CCNC(=O)C(C[C@H](CC1CCCCC1)NCc1ccc(Br)cc1)OCc1ccccc1,512.5,5.49,2,4,0.369,0
full,CC(=O)NC(C(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC1(C#N)CC1,372.4,-0.52,4,5,0.451,1
full,CC(C)(C)CC[C@@H](CC(=O)N[C@@H](CC#N)c1ccc(Cl)cc1)NC(=O)OC(C)(C)C,436.0,5.52,2,4,0.562,0
full,CC(C)C(NCCCCNC(=O)COC(=O)c1ccccc1)C(=O)NCC(=O)O,407.5,0.55,4,6,0.277,1
full,N#CC(CCC(F)(F)F)NC(=O)NC(CCc1ccccc1)C(=O)OCc1ccccc1,447.5,4.27,2,4,0.533,1
full,CC(C)CC(NC(=O)CCN=C(N)NCc1ccc(C(=O)O)cc1)C(C)NC(=O)C(NC(=O)OC(C)(C)C)NC(=O)c1ccc(-c2ccccc2)cc1,729.9,4.16,7,7,0.064,0
full,N#Cc1csc(-c2ccc3ccc(OC(F)(F)F)cc3c2)n1,320.3,4.73,0,4,0.685,1
full,COC(=O)C(Cc1ccccc1)NC(=O)C1Cc2ccccc2CN1C(=O)OC(C)(C)C,438.5,3.25,1,5,0.725,1
full,COc1ccc(Cl)c(C2(NC(=O)C(C)(C)C)CCCc3cc(F)ccc32)c1,389.9,5.23,1,2,0.78,0
full,CC(C)N(C#N)C(=O)C(Cc1ccccc1)NC(=O)Cc1cccc(OCC(F)(F)F)c1,447.5,3.62,1,4,0.47,1
full,CC(C)CC(C#N)NC(=O)OCc1ccccc1,246.3,2.85,1,3,0.869,1
full,N#Cc1ccccc1Nc1nc(Nc2cccc(Br)c2)nc(-c2ccccc2)n1,443.3,5.66,2,6,0.414,0
full,CC(C)CCN(NC(=O)C(C)CCCc1ccccc1)C(CC(C)C)C(=O)NCC#N,428.6,4.08,2,4,0.345,1
full,Nc1c(Cl)nn(CCS(=O)(=O)N2CCCCC2)c(=O)c1Cl,355.2,0.95,1,5,0.867,1
full,C=C(C)C(=O)OCC(C)(C)OC(=O)NC(CCC(C)C)C(=O)NCCCNC(=O)OC(C)C,471.6,3.06,3,7,0.153,1
full,CC(C)CC(NC(=O)C#N)C(=O)NC(C(=O)OCc1ccccc1)C(C)(C)C,387.5,2.32,2,5,0.526,1
full,Cn1ccc2cc(C[C@H](NC(=O)C(Cc3ccccc3F)NS(=O)(=O)C3(C#N)CC3)C(F)F)ccc21,518.6,3.2,2,4,0.43,0
full,CCC1(C(=O)NC(C#N)C(=O)N(C)[C@@H]2c3ccccc3S(=O)(=O)[C@H]2C(C)(C)C)CO1,433.5,1.58,1,6,0.704,1
full,N#CCC(NC(=O)c1ccccc1)C(=O)/C=C/C1CCCCC1,310.4,3.4,1,3,0.819,1
full,N#CC1(COC(=O)N2CCCC2)CC1,194.2,1.52,0,3,0.669,1
full,O=C1N[C@@]2(C[C@H](CNc3ccc(OC(F)(F)F)c(Cl)c3)N(S(=O)(=O)Cc3ccc(Cl)cc3)C2)c2ccccc21,600.4,5.55,2,5,0.372,0
full,N#Cc1ccc(SCCC(NS(=O)(=O)c2ccccc2)C(=O)NC2(C#N)CCC2)cc1,454.6,2.95,2,6,0.562,1
full,CN(C#N)C(Cc1ccccc1)C(=O)Nc1cccc(-c2nc(-c3ccccc3)c[nH]2)c1,421.5,4.71,2,4,0.334,1
mature,CSCC[C@@H](CC#N)NC(=O)C(NS(=O)(=O)c1ccc(Cl)cc1Cl)c1ccccc1,486.4,4.16,2,5,0.526,1
mature,CS(=O)(=O)Nc1cc(C[C@@H](CSc2ccccc2)N[C@H](C(N)=O)c2ccccc2F)ccc1-c1ccccc1,563.7,5.38,3,5,0.201,0
mature,CC(NC(=O)COCc1ccccc1)C(=O)NCC#N,275.3,0.35,2,4,0.702,1
mature,N#Cc1nc(NCc2cccc(C(F)(F)F)c2)c2ccccc2n1,328.3,4.13,1,4,0.785,1
mature,CC(C)C(C#N)NC(=O)OCC(C(=O)NC(C(=O)c1cccc(F)c1)C(C)C)c1ccccc1,467.5,4.21,2,5,0.509,1
mature,N#CN1Cc2ccccc2C[C@H]1OC(=O)NC(Cc1ccccc1)C(Cc1ccccc1)C(=O)N1CCCCC1,536.7,5.06,1,5,0.407,0
mature,CC(C)CC(C(=O)C1(C#N)CC1)c1c(F)cccc1-c1ccsc1,341.5,5.56,0,3,0.69,0
mature,CC(C)(C)CC(NC(C=O)CC#N)C(=O)OCc1ccccc1,316.4,2.61,1,5,0.589,1
